Thread #1
1. Point A: -59:76; Point B: 67:83; Point C: 83:83; Point D: 86:-59; Angle A: 46; Angle B: 176; Angle C: 91; Angle D: 45; Square: 560;
352. Point A: 4:78; Point B: 49:80; Point C: 72:80; Point D: 93:39; Angle A: 26; Angle B: 177; Angle C: 117; Angle D: 39; Square: 112;
353. Point A: 34:16; Point B: 49:80; Point C: 72:80; Point D: 95:19; Angle A: 73; Angle B: 103; Angle C: 110; Angle D: 72; Square: 2688;
354. Point A: 49:80; Point B: 79:84; Point C: 80:84; Point D: 95:19; Angle A: 60; Angle B: 172; Angle C: 102; Angle D: 24; Square: 92;
355. Point A: -36:19; Point B: -16:46; Point C: 90:46; Point D: 95:-30; Angle A: 73; Angle B: 126; Angle C: 93; Angle D: 65; Square: 3186;
356. Point A: -16:46; Point B: 79:84; Point C: 80:84; Point D: 90:46; Angle A: 21; Angle B: 158; Angle C: 104; Angle D: 75; Square: 2014;
357. Point A: 72:22; Point B: 79:84; Point C: 80:84; Point D: 90:46; Angle A: 30; Angle B: 96; Angle C: 104; Angle D: 128; Square: 558;
358. Point A: 33:27; Point B: 79:84; Point C: 80:84; Point D: 90:46; Angle A: 32; Angle B: 128; Angle C: 104; Angle D: 93; Square: 1653;
359. Point A: 12:42; Point B: 79:84; Point C: 80:84; Point D: 90:46; Angle A: 29; Angle B: 147; Angle C: 104; Angle D: 78; Square: 1638;
360. Point A: -12:73; Point B: 30:80; Point C: 72:80; Point D: 89:-80; Angle A: 66; Angle B: 170; Angle C: 96; Angle D: 27; Square: 497;
361. Point A: -52:-20; Point B: 28:12; Point C: 84:12; Point D: 89:-80; Angle A: 44; Angle B: 158; Angle C: 93; Angle D: 63; Square: 3136;
362. Point A: -24:53; Point B: 53:56; Point C: 92:56; Point D: 95:-30; Angle A: 37; Angle B: 177; Angle C: 91; Angle D: 53; Square: 237;
363. Point A: 56:41; Point B: 62:81; Point C: 87:81; Point D: 95:-30; Angle A: 142; Angle B: 98; Angle C: 94; Angle D: 24; Square: 1280;
364. Point A: 70:-5; Point B: 84:12; Point C: 95:12; Point D: 100:-63; Angle A: 113; Angle B: 129; Angle C: 93; Angle D: 23; Square: 340;
365. Point A: 24:-80; Point B: 53:56; Point C: 92:56; Point D: 95:-30; Angle A: 42; Angle B: 102; Angle C: 91; Angle D: 123; Square: 7480;
366. Point A: -59:11; Point B: -45:63; Point C: 17:63; Point D: 53:56; Angle A: 53; Angle B: 105; Angle C: 168; Angle D: 32; Square: 4524;
367. Point A: -45:63; Point B: 30:80; Point C: 72:80; Point D: 84:12; Angle A: 34; Angle B: 167; Angle C: 100; Angle D: 58; Square: 1445;
368. Point A: 12:-13; Point B: 53:56; Point C: 92:56; Point D: 95:-30; Angle A: 70; Angle B: 120; Angle C: 91; Angle D: 76; Square: 4209;
369. Point A: 53:56; Point B: 62:81; Point C: 87:81; Point D: 95:-30; Angle A: 134; Angle B: 109; Angle C: 94; Angle D: 21; Square: 825;
370. Point A: -69:41; Point B: -8:50; Point C: 57:50; Point D: 72:-63; Angle A: 44; Angle B: 171; Angle C: 97; Angle D: 46; Square: 927;
371. Point A: 72:-63; Point B: 84:12; Point C: 95:12; Point D: 100:-63; Angle A: 80; Angle B: 99; Angle C: 93; Angle D: 86; Square: 1425;
372. Point A: -52:26; Point B: -8:50; Point C: 57:50; Point D: 58:21; Angle A: 31; Angle B: 151; Angle C: 91; Angle D: 85; Square: 2088;
373. Point A: 45:-18; Point B: 58:21; Point C: 99:21; Point D: 100:-63; Angle A: 110; Angle B: 108; Angle C: 90; Angle D: 50; Square: 1872;
374. Point A: -29:-55; Point B: -27:-7; Point C: 18:-7; Point D: 59:-68; Angle A: 96; Angle B: 92; Angle C: 123; Angle D: 47; Square: 3168;
375. Point A: -83:-69; Point B: -27:-7; Point C: 18:-7; Point D: 59:-68; Angle A: 47; Angle B: 132; Angle C: 123; Angle D: 56; Square: 5766;
376. Point A: -27:-7; Point B: 58:21; Point C: 99:21; Point D: 100:-63; Angle A: 42; Angle B: 161; Angle C: 90; Angle D: 65; Square: 2352;
377. Point A: -88:91; Point B: -85:96; Point C: -36:96; Point D: 58:21; Angle A: 84; Angle B: 120; Angle C: 141; Angle D: 12; Square: 485;
378. Point A: 58:21; Point B: 62:81; Point C: 87:81; Point D: 95:-30; Angle A: 140; Angle B: 93; Angle C: 94; Angle D: 31; Square: 1860;
379. Point A: -8:50; Point B: 17:58; Point C: 33:58; Point D: 59:-68; Angle A: 78; Angle B: 162; Angle C: 101; Angle D: 17; Square: 328;
380. Point A: 11:4; Point B: 17:58; Point C: 33:58; Point D: 59:-68; Angle A: 139; Angle B: 96; Angle C: 101; Angle D: 22; Square: 1728;
381. Point A: 17:58; Point B: 30:80; Point C: 72:80; Point D: 84:13; Angle A: 93; Angle B: 120; Angle C: 100; Angle D: 45; Square: 1188;
382. Point A: -40:-73; Point B: 29:-26; Point C: 70:-26; Point D: 95:-30; Angle A: 16; Angle B: 145; Angle C: 170; Angle D: 26; Square: 4136;
383. Point A: 29:-26; Point B: 30:80; Point C: 72:80; Point D: 84:13; Angle A: 54; Angle B: 90; Angle C: 100; Angle D: 115; Square: 5088;
384. Point A: -72:58; Point B: 30:80; Point C: 72:80; Point D: 84:13; Angle A: 28; Angle B: 167; Angle C: 100; Angle D: 63; Square: 2178;
385. Point A: -55:-89; Point B: -6:-55; Point C: 5:-55; Point D: 26:-86; Angle A: 32; Angle B: 145; Angle C: 124; Angle D: 58; Square: 1564;
386. Point A: -6:-55; Point B: 26:28; Point C: 34:28; Point D: 84:13; Angle A: 31; Angle B: 111; Angle C: 163; Angle D: 53; Square: 4067;
387. Point A: 26:-86; Point B: 30:80; Point C: 72:80; Point D: 84:13; Angle A: 28; Angle B: 91; Angle C: 100; Angle D: 139; Square: 8300;
388. Point A: -46:49; Point B: 30:80; Point C: 72:80; Point D: 84:13; Angle A: 37; Angle B: 157; Angle C: 100; Angle D: 64; Square: 2666;
389. Point A: 25:-82; Point B: 26:28; Point C: 34:28; Point D: 84:13; Angle A: 31; Angle B: 90; Angle C: 163; Angle D: 74; Square: 3630;
390. Point A: -99:-74; Point B: -52:-67; Point C: -20:-67; Point D: 16:-78; Angle A: 10; Angle B: 171; Angle C: 163; Angle D: 14; Square: 511;
391. Point A: -92:-100; Point B: -52:-67; Point C: -20:-67; Point D: 16:-78; Angle A: 28; Angle B: 140; Angle C: 163; Angle D: 28; Square: 2310;
392. Point A: -52:-67; Point B: 26:28; Point C: 34:28; Point D: 84:13; Angle A: 20; Angle B: 129; Angle C: 163; Angle D: 47; Square: 6840;
393. Point A: 26:28; Point B: 30:80; Point C: 72:80; Point D: 84:13; Angle A: 100; Angle B: 94; Angle C: 100; Angle D: 65; Square: 2600;
394. Point A: 30:80; Point B: 62:81; Point C: 87:81; Point D: 95:-30; Angle A: 61; Angle B: 178; Angle C: 94; Angle D: 26; Square: 45;
395. Point A: -52:45; Point B: -50:87; Point C: 54:87; Point D: 84:13; Angle A: 100; Angle B: 92; Angle C: 112; Angle D: 54; Square: 5040;
396. Point A: -64:-43; Point B: 53:-2; Point C: 96:-2; Point D: 100:-63; Angle A: 26; Angle B: 160; Angle C: 93; Angle D: 79; Square: 4223;
397. Point A: 53:-2; Point B: 62:81; Point C: 87:81; Point D: 95:-30; Angle A: 117; Angle B: 96; Angle C: 94; Angle D: 52; Square: 2739;
398. Point A: 16:-78; Point B: 22:-73; Point C: 76:-73; Point D: 80:-86; Angle A: 46; Angle B: 140; Angle C: 107; Angle D: 65; Square: 295;
399. Point A: -96:0; Point B: -60:89; Point C: 89:89; Point D: 95:-30; Angle A: 76; Angle B: 112; Angle C: 92; Angle D: 78; Square: 15130;
400. Point A: 22:-73; Point B: 24:6; Point C: 73:6; Point D: 81:-23; Angle A: 48; Angle B: 91; Angle C: 105; Angle D: 114; Square: 4266;
401. Point A: 24:6; Point B: 62:81; Point C: 87:81; Point D: 95:-30; Angle A: 90; Angle B: 116; Angle C: 94; Angle D: 58; Square: 3600;
402. Point A: -100:-55; Point B: -40:-33; Point C: 4:-33; Point D: 38:-89; Angle A: 33; Angle B: 159; Angle C: 121; Angle D: 44; Square: 2002;
403. Point A: -26:-90; Point B: 12:34; Point C: 66:34; Point D: 81:-23; Angle A: 40; Angle B: 107; Angle C: 104; Angle D: 107; Square: 9920;
404. Point A: -40:-33; Point B: 12:34; Point C: 66:34; Point D: 81:-23; Angle A: 47; Angle B: 127; Angle C: 104; Angle D: 79; Square: 5829;
405. Point A: -100:28; Point B: 12:34; Point C: 66:34; Point D: 81:-23; Angle A: 18; Angle B: 176; Angle C: 104; Angle D: 59; Square: 702;
406. Point A: 12:34; Point B: 62:81; Point C: 87:81; Point D: 95:-30; Angle A: 80; Angle B: 136; Angle C: 94; Angle D: 48; Square: 2538;
407. Point A: -60:-13; Point B: 62:81; Point C: 87:81; Point D: 95:-30; Angle A: 43; Angle B: 142; Angle C: 94; Angle D: 79; Square: 8460;
408. Point A: 38:-89; Point B: 62:81; Point C: 87:81; Point D: 95:-30; Angle A: 35; Angle B: 98; Angle C: 94; Angle D: 131; Square: 6970;
409. Point A: 18:-70; Point B: 36:44; Point C: 75:44; Point D: 95:-30; Angle A: 53; Angle B: 98; Angle C: 105; Angle D: 102; Square: 6612;
410. Point A: -22:15; Point B: 34:65; Point C: 86:65; Point D: 95:-30; Angle A: 62; Angle B: 138; Angle C: 95; Angle D: 63; Square: 4200;
411. Point A: -77:32; Point B: 34:65; Point C: 86:65; Point D: 95:-30; Angle A: 36; Angle B: 163; Angle C: 95; Angle D: 64; Square: 3696;
412. Point A: -85:24; Point B: -32:53; Point C: -17:53; Point D: 38:23; Angle A: 29; Angle B: 151; Angle C: 151; Angle D: 28; Square: 2001;
413. Point A: -65:9; Point B: -32:53; Point C: -17:53; Point D: 1:-85; Angle A: 108; Angle B: 126; Angle C: 97; Angle D: 27; Square: 1760;
414. Point A: -60:-29; Point B: -32:53; Point C: -17:53; Point D: 1:-85; Angle A: 113; Angle B: 108; Angle C: 97; Angle D: 40; Square: 3116;
415. Point A: -78:-29; Point B: -32:53; Point C: -17:53; Point D: 1:-85; Angle A: 96; Angle B: 119; Angle C: 97; Angle D: 47; Square: 3854;
416. Point A: -70:-83; Point B: -50:31; Point C: -28:31; Point D: 1:-85; Angle A: 81; Angle B: 99; Angle C: 104; Angle D: 74; Square: 5244;
417. Point A: -67:70; Point B: 17:97; Point C: 27:97; Point D: 81:-42; Angle A: 54; Angle B: 162; Angle C: 111; Angle D: 31; Square: 2133;
418. Point A: -74:-78; Point B: -73:19; Point C: 8:19; Point D: 81:-42; Angle A: 76; Angle B: 90; Angle C: 140; Angle D: 52; Square: 11446;
419. Point A: -73:19; Point B: 17:97; Point C: 27:97; Point D: 81:-42; Angle A: 62; Angle B: 139; Angle C: 111; Angle D: 47; Square: 6396;
420. Point A: -28:-53; Point B: -10:6; Point C: 73:6; Point D: 93:-59; Angle A: 75; Angle B: 106; Angle C: 107; Angle D: 70; Square: 6018;
421. Point A: -61:-29; Point B: 8:19; Point C: 46:19; Point D: 93:-59; Angle A: 45; Angle B: 145; Angle C: 121; Angle D: 47; Square: 4608;
422. Point A: -33:-64; Point B: 8:19; Point C: 46:19; Point D: 93:-59; Angle A: 61; Angle B: 116; Angle C: 121; Angle D: 61; Square: 6806;
423. Point A: 9:43; Point B: 20:66; Point C: 70:66; Point D: 76:-34; Angle A: 113; Angle B: 115; Angle C: 93; Angle D: 37; Square: 1334;
424. Point A: -8:34; Point B: 20:66; Point C: 70:66; Point D: 76:-34; Angle A: 87; Angle B: 131; Angle C: 93; Angle D: 47; Square: 2144;
425. Point A: -32:90; Point B: 10:96; Point C: 38:96; Point D: 52:-68; Angle A: 70; Angle B: 171; Angle C: 94; Angle D: 23; Square: 336;
426. Point A: -73:-10; Point B: 20:66; Point C: 70:66; Point D: 76:-34; Angle A: 48; Angle B: 140; Angle C: 93; Angle D: 77; Square: 7524;
427. Point A: 20:66; Point B: 51:79; Point C: 84:79; Point D: 89:62; Angle A: 26; Angle B: 157; Angle C: 106; Angle D: 70; Square: 663;
428. Point A: 11:-26; Point B: 13:67; Point C: 29:67; Point D: 52:-68; Angle A: 134; Angle B: 91; Angle C: 99; Angle D: 34; Square: 2604;
429. Point A: -86:-93; Point B: -12:83; Point C: 67:83; Point D: 76:-34; Angle A: 47; Angle B: 112; Angle C: 94; Angle D: 105; Square: 21120;
430. Point A: -12:83; Point B: 10:96; Point C: 38:96; Point D: 52:-68; Angle A: 97; Angle B: 149; Angle C: 94; Angle D: 18; Square: 598;
431. Point A: -65:45; Point B: 13:67; Point C: 29:67; Point D: 52:-68; Angle A: 59; Angle B: 164; Angle C: 99; Angle D: 36; Square: 1452;
432. Point A: 13:67; Point B: 51:79; Point C: 84:79; Point D: 89:62; Angle A: 21; Angle B: 162; Angle C: 106; Angle D: 69; Square: 648;
433. Point A: 24:38; Point B: 51:79; Point C: 84:79; Point D: 89:62; Angle A: 36; Angle B: 123; Angle C: 106; Angle D: 93; Square: 2009;
434. Point A: -73:51; Point B: 51:79; Point C: 84:79; Point D: 89:62; Angle A: 8; Angle B: 167; Angle C: 106; Angle D: 77; Square: 2716;
435. Point A: -82:28; Point B: -63:29; Point C: -24:29; Point D: 52:-68; Angle A: 38; Angle B: 176; Angle C: 128; Angle D: 16; Square: 86;
436. Point A: -63:29; Point B: -59:34; Point C: 66:34; Point D: 76:-34; Angle A: 75; Angle B: 128; Angle C: 98; Angle D: 57; Square: 660;
437. Point A: -12:21; Point B: 51:79; Point C: 84:79; Point D: 89:62; Angle A: 20; Angle B: 137; Angle C: 106; Angle D: 95; Square: 3886;
438. Point A: -96:30; Point B: -59:34; Point C: 66:34; Point D: 76:-34; Angle A: 26; Angle B: 173; Angle C: 98; Angle D: 61; Square: 592;
439. Point A: -59:34; Point B: 51:79; Point C: 84:79; Point D: 89:62; Angle A: 11; Angle B: 157; Angle C: 106; Angle D: 84; Square: 4050;
440. Point A: -14:-80; Point B: 51:79; Point C: 84:79; Point D: 89:62; Angle A: 13; Angle B: 112; Angle C: 106; Angle D: 127; Square: 10812;
441. Point A: 51:79; Point B: 54:87; Point C: 67:87; Point D: 89:62; Angle A: 93; Angle B: 110; Angle C: 131; Angle D: 24; Square: 200;
442. Point A: 89:62; Point B: 92:77; Point C: 96:77; Point D: 100:-63; Angle A: 163; Angle B: 101; Angle C: 91; Angle D: 3; Square: 105;
443. Point A: -89:-17; Point B: -50:55; Point C: 8:55; Point D: 70:-26; Angle A: 64; Angle B: 118; Angle C: 127; Angle D: 49; Square: 7776;
444. Point A: -50:55; Point B: -36:96; Point C: 10:96; Point D: 21:-54; Angle A: 128; Angle B: 108; Angle C: 94; Angle D: 28; Square: 2378;
445. Point A: 21:-54; Point B: 60:-5; Point C: 77:-5; Point D: 80:-86; Angle A: 79; Angle B: 128; Angle C: 92; Angle D: 59; Square: 1862;
446. Point A: -64:-24; Point B: -34:77; Point C: 92:77; Point D: 100:-63; Angle A: 86; Angle B: 106; Angle C: 93; Angle D: 73; Square: 14645;
447. Point A: -34:77; Point B: 10:96; Point C: 38:96; Point D: 60:-5; Angle A: 64; Angle B: 156; Angle C: 102; Angle D: 36; Square: 1159;
448. Point A: -48:15; Point B: 10:96; Point C: 38:96; Point D: 60:-5; Angle A: 64; Angle B: 125; Angle C: 102; Angle D: 67; Square: 5508;
449. Point A: 44:-34; Point B: 79:-31; Point C: 99:-31; Point D: 100:-63; Angle A: 32; Angle B: 175; Angle C: 91; Angle D: 60; Square: 114;
450. Point A: -21:-45; Point B: 17:63; Point C: 71:63; Point D: 87:36; Angle A: 33; Angle B: 109; Angle C: 120; Angle D: 96; Square: 8748;
451. Point A: 17:63; Point B: 46:78; Point C: 91:78; Point D: 92:77; Angle A: 16; Angle B: 152; Angle C: 135; Angle D: 55; Square: 900;
452. Point A: 25:-69; Point B: 46:78; Point C: 91:78; Point D: 92:77; Angle A: 16; Angle B: 98; Angle C: 135; Angle D: 110; Square: 8232;
453. Point A: 46:78; Point B: 54:87; Point C: 67:87; Point D: 87:36; Angle A: 94; Angle B: 131; Angle C: 111; Angle D: 22; Square: 243;
454. Point A: -29:-65; Point B: 39:39; Point C: 93:39; Point D: 99:21; Angle A: 22; Angle B: 123; Angle C: 108; Angle D: 105; Square: 9464;
455. Point A: 39:39; Point B: 92:77; Point C: 96:77; Point D: 99:21; Angle A: 52; Angle B: 144; Angle C: 93; Angle D: 70; Square: 1216;
456. Point A: 87:36; Point B: 92:77; Point C: 96:77; Point D: 99:21; Angle A: 134; Angle B: 96; Angle C: 93; Angle D: 35; Square: 328;
457. Point A: 56:17; Point B: 92:77; Point C: 96:77; Point D: 99:21; Angle A: 53; Angle B: 120; Angle C: 93; Angle D: 92; Square: 1380;
458. Point A: -86:-96; Point B: 30:-22; Point C: 94:-22; Point D: 99:-31; Angle A: 13; Angle B: 147; Angle C: 119; Angle D: 80; Square: 9176;
459. Point A: 30:-22; Point B: 33:8; Point C: 62:8; Point D: 75:-31; Angle A: 95; Angle B: 95; Angle C: 108; Angle D: 60; Square: 1110;
460. Point A: 17:76; Point B: 92:77; Point C: 96:77; Point D: 99:21; Angle A: 34; Angle B: 179; Angle C: 93; Angle D: 53; Square: 43;
461. Point A: 40:-50; Point B: 92:77; Point C: 96:77; Point D: 99:21; Angle A: 17; Angle B: 112; Angle C: 93; Angle D: 137; Square: 3937;
462. Point A: -11:-18; Point B: -10:66; Point C: 70:66; Point D: 75:-31; Angle A: 97; Angle B: 90; Angle C: 92; Angle D: 78; Square: 6972;
463. Point A: 19:-77; Point B: 33:8; Point C: 62:8; Point D: 75:-31; Angle A: 41; Angle B: 99; Angle C: 108; Angle D: 110; Square: 3570;
464. Point A: -10:66; Point B: 92:77; Point C: 96:77; Point D: 99:21; Angle A: 28; Angle B: 173; Angle C: 93; Angle D: 64; Square: 616;
465. Point A: -72:2; Point B: 33:8; Point C: 62:8; Point D: 75:-31; Angle A: 15; Angle B: 176; Angle C: 108; Angle D: 58; Square: 528;
466. Point A: 33:8; Point B: 92:77; Point C: 96:77; Point D: 99:21; Angle A: 38; Angle B: 130; Angle C: 93; Angle D: 98; Square: 2415;
467. Point A: 1:88; Point B: 9:94; Point C: 34:94; Point D: 45:-27; Angle A: 105; Angle B: 143; Angle C: 95; Angle D: 15; Square: 204;
468. Point A: 0:95; Point B: 38:96; Point C: 72:96; Point D: 75:-31; Angle A: 60; Angle B: 178; Angle C: 91; Angle D: 29; Square: 54;
469. Point A: -91:-100; Point B: -42:-29; Point C: 21:-29; Point D: 75:-31; Angle A: 32; Angle B: 124; Angle C: 177; Angle D: 24; Square: 8094;
470. Point A: -42:-29; Point B: 45:-27; Point C: 73:-27; Point D: 75:-31; Angle A: 2; Angle B: 178; Angle C: 116; Angle D: 62; Square: 144;
471. Point A: -52:-34; Point B: -19:46; Point C: 89:46; Point D: 99:21; Angle A: 47; Angle B: 112; Angle C: 111; Angle D: 88; Square: 10320;
472. Point A: -62:27; Point B: -19:46; Point C: 89:46; Point D: 99:21; Angle A: 25; Angle B: 156; Angle C: 111; Angle D: 66; Square: 2546;
473. Point A: -19:46; Point B: 54:87; Point C: 67:87; Point D: 75:-31; Angle A: 68; Angle B: 150; Angle C: 93; Angle D: 46; Square: 2173;
474. Point A: -100:95; Point B: -80:97; Point C: -37:97; Point D: 5:-55; Angle A: 60; Angle B: 174; Angle C: 105; Angle D: 19; Square: 148;
475. Point A: 5:-55; Point B: 75:-31; Point C: 99:-31; Point D: 100:-34; Angle A: 6; Angle B: 161; Angle C: 108; Angle D: 84; Square: 1416;
476. Point A: -36:-65; Point B: 75:-31; Point C: 99:-31; Point D: 100:-34; Angle A: 4; Angle B: 162; Angle C: 108; Angle D: 84; Square: 2720;
477. Point A: -19:-81; Point B: 75:-31; Point C: 99:-31; Point D: 100:-34; Angle A: 6; Angle B: 151; Angle C: 108; Angle D: 93; Square: 3550;
478. Point A: -75:56; Point B: -39:61; Point C: 32:61; Point D: 75:-31; Angle A: 38; Angle B: 172; Angle C: 115; Angle D: 34; Square: 550;
479. Point A: -39:61; Point B: -34:89; Point C: 69:89; Point D: 99:21; Angle A: 96; Angle B: 100; Angle C: 113; Angle D: 50; Square: 3360;
480. Point A: -56:-85; Point B: -18:2; Point C: 74:2; Point D: 76:-73; Angle A: 61; Angle B: 113; Angle C: 91; Angle D: 93; Square: 9744;
481. Point A: -18:2; Point B: 53:32; Point C: 57:32; Point D: 64:-3; Angle A: 26; Angle B: 157; Angle C: 101; Angle D: 75; Square: 1290;
482. Point A: -49:-15; Point B: -8:11; Point C: 97:11; Point D: 99:-31; Angle A: 38; Angle B: 147; Angle C: 92; Angle D: 81; Square: 3276;
483. Point A: -34:89; Point B: 9:94; Point C: 34:94; Point D: 39:-45; Angle A: 68; Angle B: 173; Angle C: 92; Angle D: 26; Square: 245;
484. Point A: 44:-53; Point B: 73:-50; Point C: 86:-50; Point D: 91:-98; Angle A: 49; Angle B: 174; Angle C: 95; Angle D: 40; Square: 90;
485. Point A: -44:-70; Point B: 2:4; Point C: 94:4; Point D: 99:-31; Angle A: 42; Angle B: 121; Angle C: 98; Angle D: 97; Square: 8658;
486. Point A: 14:-84; Point B: 73:-50; Point C: 86:-50; Point D: 91:-98; Angle A: 40; Angle B: 150; Angle C: 95; Angle D: 73; Square: 1530;
487. Point A: -87:37; Point B: -59:64; Point C: 45:64; Point D: 73:-50; Angle A: 72; Angle B: 136; Angle C: 103; Angle D: 47; Square: 3564;
488. Point A: 2:4; Point B: 19:39; Point C: 93:39; Point D: 99:-31; Angle A: 83; Angle B: 115; Angle C: 94; Angle D: 65; Square: 2975;
489. Point A: -98:-64; Point B: -16:4; Point C: 94:4; Point D: 99:-31; Angle A: 30; Angle B: 140; Angle C: 98; Angle D: 91; Square: 10404;
490. Point A: -81:-83; Point B: -16:4; Point C: 94:4; Point D: 99:-31; Angle A: 37; Angle B: 126; Angle C: 98; Angle D: 97; Square: 12615;
491. Point A: -16:4; Point B: 19:39; Point C: 93:39; Point D: 99:-31; Angle A: 61; Angle B: 135; Angle C: 94; Angle D: 68; Square: 3290;
492. Point A: -59:64; Point B: 54:87; Point C: 67:87; Point D: 75:0; Angle A: 37; Angle B: 168; Angle C: 95; Angle D: 59; Square: 1679;
493. Point A: 19:39; Point B: 54:87; Point C: 67:87; Point D: 91:-98; Angle A: 116; Angle B: 126; Angle C: 97; Angle D: 20; Square: 2016;
494. Point A: 19:-4; Point B: 54:87; Point C: 67:87; Point D: 69:-62; Angle A: 118; Angle B: 111; Angle C: 90; Angle D: 39; Square: 2821;
495. Point A: -23:28; Point B: 23:84; Point C: 56:84; Point D: 61:-32; Angle A: 86; Angle B: 129; Angle C: 92; Angle D: 51; Square: 3248;
496. Point A: -30:-21; Point B: 23:84; Point C: 56:84; Point D: 61:-32; Angle A: 70; Angle B: 116; Angle C: 92; Angle D: 80; Square: 6510;
497. Point A: 61:-32; Point B: 64:36; Point C: 69:36; Point D: 97:-65; Angle A: 129; Angle B: 92; Angle C: 105; Angle D: 31; Square: 1360;
498. Point A: -66:10; Point B: 23:84; Point C: 56:84; Point D: 64:36; Angle A: 28; Angle B: 140; Angle C: 99; Angle D: 91; Square: 5994;
499. Point A: 14:-30; Point B: 23:84; Point C: 56:84; Point D: 64:36; Angle A: 32; Angle B: 94; Angle C: 99; Angle D: 133; Square: 4674;
500. Point A: 8:-93; Point B: 23:84; Point C: 56:84; Point D: 64:36; Angle A: 18; Angle B: 94; Angle C: 99; Angle D: 147; Square: 7788;
501. Point A: 23:84; Point B: 38:96; Point C: 72:96; Point D: 87:81; Angle A: 41; Angle B: 141; Angle C: 135; Angle D: 42; Square: 588;
502. Point A: 9:94; Point B: 38:96; Point C: 72:96; Point D: 87:81; Angle A: 13; Angle B: 176; Angle C: 135; Angle D: 35; Square: 112;
503. Point A: -95:-40; Point B: -83:8; Point C: 62:8; Point D: 97:-65; Angle A: 83; Angle B: 104; Angle C: 115; Angle D: 56; Square: 8064;
504. Point A: -83:8; Point B: -74:88; Point C: 23:88; Point D: 26:-44; Angle A: 109; Angle B: 96; Angle C: 91; Angle D: 63; Square: 8240;
505. Point A: -59:-29; Point B: -24:29; Point C: 35:29; Point D: 97:-65; Angle A: 71; Angle B: 121; Angle C: 123; Angle D: 43; Square: 6206;
506. Point A: 26:-44; Point B: 71:-39; Point C: 81:-39; Point D: 97:-65; Angle A: 22; Angle B: 173; Angle C: 121; Angle D: 41; Square: 200;
507. Point A: -24:29; Point B: 30:48; Point C: 87:48; Point D: 97:-65; Angle A: 57; Angle B: 160; Angle C: 95; Angle D: 47; Square: 1691;
508. Point A: -17:-28; Point B: -11:-22; Point C: 94:-22; Point D: 97:-65; Angle A: 62; Angle B: 135; Angle C: 93; Angle D: 68; Square: 654;
509. Point A: -64:54; Point B: -44:82; Point C: -37:82; Point D: 97:-65; Angle A: 90; Angle B: 125; Angle C: 132; Angle D: 11; Square: 2352;
510. Point A: -44:82; Point B: 67:83; Point C: 83:83; Point D: 97:-65; Angle A: 46; Angle B: 179; Angle C: 95; Angle D: 38; Square: 78;
511. Point A: 71:-39; Point B: 95:71; Point C: 96:71; Point D: 97:-98; Angle A: 143; Angle B: 102; Angle C: 90; Angle D: 23; Square: 1430;
512. Point A: -11:-22; Point B: 14:17; Point C: 89:17; Point D: 96:-2; Angle A: 46; Angle B: 122; Angle C: 110; Angle D: 80; Square: 3549;
513. Point A: -29:-19; Point B: 14:17; Point C: 89:17; Point D: 96:-2; Angle A: 32; Angle B: 140; Angle C: 110; Angle D: 77; Square: 3600;
514. Point A: 14:17; Point B: 34:28; Point C: 47:28; Point D: 49:-55; Angle A: 92; Angle B: 151; Angle C: 91; Angle D: 24; Square: 264;
515. Point A: -62:-29; Point B: -44:19; Point C: 24:19; Point D: 47:-90; Angle A: 98; Angle B: 110; Angle C: 101; Angle D: 48; Square: 4224;
516. Point A: 47:-90; Point B: 49:-55; Point C: 51:-55; Point D: 86:-59; Angle A: 48; Angle B: 93; Angle C: 173; Angle D: 45; Square: 700;
517. Point A: 49:-55; Point B: 95:71; Point C: 96:71; Point D: 97:-98; Angle A: 111; Angle B: 110; Angle C: 90; Angle D: 47; Square: 3024;
518. Point A: -44:19; Point B: 34:28; Point C: 47:28; Point D: 56:-48; Angle A: 40; Angle B: 173; Angle C: 96; Angle D: 49; Square: 504;
519. Point A: 9:-50; Point B: 34:28; Point C: 47:28; Point D: 56:-48; Angle A: 69; Angle B: 107; Angle C: 96; Angle D: 85; Square: 2340;
520. Point A: 34:28; Point B: 95:71; Point C: 96:71; Point D: 97:-98; Angle A: 98; Angle B: 144; Angle C: 90; Angle D: 26; Square: 1376;
521. Point A: 30:48; Point B: 95:71; Point C: 96:71; Point D: 97:-98; Angle A: 84; Angle B: 160; Angle C: 90; Angle D: 24; Square: 782;
522. Point A: 36:21; Point B: 42:75; Point C: 93:75; Point D: 96:-2; Angle A: 104; Angle B: 96; Angle C: 92; Angle D: 66; Square: 2970;
523. Point A: 24:19; Point B: 42:75; Point C: 93:75; Point D: 96:-2; Angle A: 88; Angle B: 107; Angle C: 92; Angle D: 71; Square: 3416;
524. Point A: -42:-50; Point B: 42:75; Point C: 93:75; Point D: 96:-2; Angle A: 36; Angle B: 123; Angle C: 92; Angle D: 106; Square: 11750;
525. Point A: -77:67; Point B: 42:75; Point C: 93:75; Point D: 96:-2; Angle A: 25; Angle B: 176; Angle C: 92; Angle D: 66; Square: 896;
526. Point A: -56:7; Point B: 42:75; Point C: 93:75; Point D: 96:-2; Angle A: 38; Angle B: 145; Angle C: 92; Angle D: 84; Square: 6868;
